type,name,iso_country,iata_code
large_airport,Duqm International Airport,OM,DQM
large_airport,Rustaq Airport,OM,MNH
large_airport,Abu Dhabi International Airport,AE,AUH
large_airport,Dubai International Airport,AE,DXB
large_airport,Al Maktoum International Airport,AE,DWC
large_airport,Sharjah International Airport,AE,SHJ
large_airport,Muscat International Airport,OM,MCT
large_airport,Islamabad International Airport,PK,ISB
large_airport,Sialkot Airport,PK,SKT
large_airport,Baghdad International Airport,IQ,BGW
large_airport,Basrah International Airport,IQ,BSR
large_airport,Aleppo International Airport,SY,ALP
large_airport,Damascus International Airport,SY,DAM
large_airport,Bassel Al-Assad International Airport,SY,LTK
large_airport,Hamad International Airport,QA,DOH
large_airport,Fairbanks International Airport,US,FAI
large_airport,Ted Stevens Anchorage International Airport,US,ANC
large_airport,Antonio B. Won Pat International Airport,GU,GUM
large_airport,Laguindingan Airport,PH,CGY
large_airport,Daniel K Inouye International Airport,US,HNL
large_airport,Kinmen Airport,TW,KNH
large_airport,Kaohsiung International Airport,TW,KHH
large_airport,Taiwan Taoyuan International Airport,TW,TPE
large_airport,Narita International Airport,JP,NRT
large_airport,Kansai International Airport,JP,KIX
large_airport,New Chitose Airport,JP,CTS
large_airport,Fukuoka Airport,JP,FUK
large_airport,Kagoshima Airport,JP,KOJ
large_airport,Chubu Centrair International Airport,JP,NGO
large_airport,Mt. Fuji Shizuoka Airport,JP,FSZ
large_airport,Osaka International Airport,JP,ITM
large_airport,Tokyo Haneda International Airport,JP,HND
large_airport,Yokota Air Base,JP,OKO
large_airport,Muan International Airport,KR,MWX
large_airport,Kunsan Air Base,KR,KUV
large_airport,Jeju International Airport,KR,CJU
large_airport,Gimhae International Airport,KR,PUS
large_airport,Incheon International Airport,KR,ICN
large_airport,Osan Air Base,KR,OSN
large_airport,Gimpo International Airport,KR,GMP
large_airport,Cheongju International Airport/Cheongju Air Base (K-59/G-513),KR,CJJ
large_airport,Naha Airport,JP,OKA
large_airport,Kadena Air Base,JP,DNA
large_airport,Diosdado Macapagal International Airport,PH,CRK
large_airport,Ninoy Aquino International Airport,PH,MNL
large_airport,Francisco Bangoy International Airport,PH,DVO
large_airport,Mactan Cebu International Airport,PH,CEB
large_airport,Grozny North Airport,RU,GRV
large_airport,Ministro Pistarini International Airport,AR,EZE
large_airport,Val de Cans/JÃºlio Cezar Ribeiro International Airport,BR,BEL
large_airport,Presidente Juscelino Kubitschek International Airport,BR,BSB
large_airport,Tancredo Neves International Airport,BR,CNF
large_airport,Afonso Pena Airport,BR,CWB
large_airport,Eduardo Gomes International Airport,BR,MAO
large_airport,HercÃ­lio Luz International Airport,BR,FLN
large_airport,Rio GaleÃ£o â Tom Jobim International Airport,BR,GIG
large_airport,Guarulhos - Governador AndrÃ© Franco Montoro International Airport,BR,GRU
large_airport,Governador AluÃ­zio Alves International Airport,BR,NAT
large_airport,Congonhas Airport,BR,CGH
large_airport,Deputado Luiz Eduardo MagalhÃ£es International Airport,BR,SSA
large_airport,Comodoro Arturo Merino BenÃ­tez International Airport,CL,SCL
large_airport,Cotopaxi International Airport,EC,LTX
large_airport,Mariscal Sucre International Airport,EC,UIO
large_airport,El Dorado International Airport,CO,BOG
large_airport,Viru Viru International Airport,BO,VVI
large_airport,Jorge ChÃ¡vez International Airport,PE,LIM
large_airport,Alejandro Velasco Astete International Airport,PE,CUZ
large_airport,Carrasco International /General C L Berisso Airport,UY,MVD
large_airport,General JosÃ© Antonio Anzoategui International Airport,VE,BLA
large_airport,SimÃ³n BolÃ­var International Airport,VE,CCS
